Question,Answer,Comment,Instruction,Render as
"且,||かつ||","also, furthermore","",Guess the meaning of the Kunyomi reading,Text
"fall into, get into, slide into, lapse into, cave in, sink, fall (a fort), ensnare, tempt [**Kun**]","陥,おちいる,おとしいれる","Onyomi: カン = fall into, get into, slide into, lapse into, cave in, sink, fall (a fort)",Guess the romaji equivalent of the Kunyomi reading,Text
"be hungry, starve [**Kun**]","飢,うえる","Onyomi: キ = be hungry, starve",Guess the romaji equivalent of the Kunyomi reading,Text
"lie, falsity, deceive, pretend, cheat, sham, counterfeit, forgery, imitation, false (prophet) [**Kun**]","偽,いつわる,にせ","Onyomi: ギ = lie, falsity, deceive, pretend, cheat",Guess the romaji equivalent of the Kunyomi reading,Text
"investigate thoroly, carry to extremes, be in a dilemma [**Kun**]","窮,きわめる,きわまる","Onyomi: キュウ = be destitute, suffer, be perplexed, be cornered",Guess the romaji equivalent of the Kunyomi reading,Text
"refuse, reject, decline, repudiate, resist, oppose, prevent, deny [**Kun**]","拒,こばむ","Onyomi: キョ = refuse, reject, decline, repudiate, resist, oppose, prevent, deny",Guess the romaji equivalent of the Kunyomi reading,Text
"dawn, daybrake, in the event (of) [**Kun**]","暁,あかつき","Onyomi: ギョウ = dawn, daybrake, in the event (of)",Guess the romaji equivalent of the Kunyomi reading,Text
"put between, hold between, insert, jam into, nip, interpose, get between, be caught in, be jammed in, be hemmed in, be sandwiched between, be pinned under, lie between [**Kun**]","挟,はさむ,はさまる","Onyomi: キョウ = put between, hold between, insert, jam into, nip, interpose",Guess the romaji equivalent of the Kunyomi reading,Text
"respectful, reverent [**Kun**]","恭,うやうやしい","Onyomi: キョウ = respectful, reverent",Guess the romaji equivalent of the Kunyomi reading,Text
"straighten, correct, reform, cure, control (one's feelings), pretend, falsify, aim [**Kun**]","矯,ためる","Onyomi: キョウ = straighten, correct, reform, cure, control (one's feelings), pretend, falsify, aim",Guess the romaji equivalent of the Kunyomi reading,Text
"be discreet, be careful, be prudent, be cautious, restrain oneself, be moderate [**Kun**]","謹,つつしむ","Onyomi: キン = be discreet, be careful, be prudent, be cautious, restrain oneself, be moderate",Guess the romaji equivalent of the Kunyomi reading,Text
"long horizontal Japanese harp, a koto, lyre [**Kun**]","琴,こと","Onyomi: キン = harp",Guess the romaji equivalent of the Kunyomi reading,Text
"neck, neckband, collar, lapel [**Kun**]","襟,えり","Onyomi: キン = neck, neckband, collar, lapel",Guess the romaji equivalent of the Kunyomi reading,Text
"corner, nook [**Kun**]","隅,すみ","Onyomi: グウ = corner",Guess the romaji equivalent of the Kunyomi reading,Text
"smell, be fragrant [**Kun**]","薫,かおる","Onyomi: クン = send forth fragrance, be scented, impregnate with",Guess the romaji equivalent of the Kunyomi reading,Text
"firefly [**Kun**]","蛍,ほたる","Onyomi: ケイ = firefly",Guess the romaji equivalent of the Kunyomi reading,Text
"stem, stalk [**Kun**]","茎,くき","Onyomi: ケイ = stem, stalk",Guess the romaji equivalent of the Kunyomi reading,Text
"bowstring, teakettle handle made of bamboo or vines [**Kun**]","弦,つる","Onyomi: ゲン = bowstring, chord (in geometry), hypotenuse, crescent (moon), bowstring, string (of an instrument)",Guess the romaji equivalent of the Kunyomi reading,Text
"cocoon [**Kun**]","繭,まゆ","Onyomi: ケン = cocoon",Guess the romaji equivalent of the Kunyomi reading,Text
"hang, set up (a ladder), cover, construct, install, sit down, sprinkle, pour on, put on, ring up, weigh, multiply, levy, pay (in installments), anchor, start (a machine), wind, turn on (radio), spend on, offer (prizes), put (under treatment), set (on fire),hang on, be suspended from, be caught, be trapped, be built, begin, arrive at, require, cost, play against, oppose, be splashed, weigh (a ","懸,かける,かかる","Onyomi: ケン,ケ = hang, set up (a ladder), cover, construct, install, sit down, sprinkle, pour on, put on, ring up, weigh, multiply, levy, pay (in installments), anchor, start (a machine), wind, turn on (radio), spend on, offer (prizes), put (under treatment), set (on fire)",Guess the romaji equivalent of the Kunyomi reading,Text
"hate, detest, dislike, disagreeable [**Kun**]","嫌,きらう,いや","Onyomi: ケン,ゲン = dislike, hate, be unwilling (to do something),",Guess the romaji equivalent of the Kunyomi reading,Text
"ditch, gutter, drain, groove, slot, gulf, gap [**Kun**]","溝,みぞ","Onyomi: コウ = ditch, gutter, sewer, drain",Guess the romaji equivalent of the Kunyomi reading,Text
"inlet, bay [**Kun**]","江,え","Onyomi: コウ = inlet, bay",Guess the romaji equivalent of the Kunyomi reading,Text
"support, finance [**Kun**]","貢,みつぐ","Onyomi: コウ,ク = tribute",Guess the romaji equivalent of the Kunyomi reading,Text
"kind, courteous, hospitable, cordial [**Kun**]","懇,ねんごろ","Onyomi: コン = kind, courteous, hospitable, cordial",Guess the romaji equivalent of the Kunyomi reading,Text
"tempt, seduce, instigate, promote [**Kun**]","唆,そそのかす","Onyomi: サ = tempt, seduce, instigate, promote",Guess the romaji equivalent of the Kunyomi reading,Text
"break, smash, crush, pulverize, tax (one's ingenuity), explain simply,crumble, be crushed, go to pieces, become familiar [**Kun**]","砕,くだく,くだける","Onyomi: サイ = break, smash, crush, pulverize, tax (one's ingenuity), explain simply",Guess the romaji equivalent of the Kunyomi reading,Text
"vinegar [**Kun**]","酢,す","Onyomi: サク = vinegar",Guess the romaji equivalent of the Kunyomi reading,Text
"umbrella, parasol [**Kun**]","傘,かさ","Onyomi: サン = umbrella, parasol",Guess the romaji equivalent of the Kunyomi reading,Text
"deign to, grant, give, bestow on, honor with [**Kun**]","賜,たまわる","Onyomi: シ = deign to, grant, give, bestow on, honor with",Guess the romaji equivalent of the Kunyomi reading,Text
"lacquer, varnish [**Kun**]","漆,うるし","Onyomi: シツ = lacquer, varnish",Guess the romaji equivalent of the Kunyomi reading,Text
"interrupt, obstruct, intercept [**Kun**]","遮,さえぎる","Onyomi: シャ = interrupt, obstruct, intercept",Guess the romaji equivalent of the Kunyomi reading,Text
"snake [**Kun**]","蛇,へび","Onyomi: ジャ,ダ = snake, serpent, hard drinker",Guess the romaji equivalent of the Kunyomi reading,Text
"draw (water), ladle, dip, scoop, pump, consider, sympathize with, drink, think [**Kun**]","酌,くむ","Onyomi: シャク = serving sake, the server",Guess the romaji equivalent of the Kunyomi reading,Text
"apply, place, put, hit (the mark), guess, succeed, expose to, sit (on a cushion), assign, allocate, call on (a pupil) [**Kun**]","充,あてる","Onyomi: ジュウ = fill",Guess the romaji equivalent of the Kunyomi reading,Text
"grieve, lament, be anxious,sad, unhappy, gloomy [**Kun**]","愁,うれえる,うれい","Onyomi: シュウ = grieve, lament, be anxious",Guess the romaji equivalent of the Kunyomi reading,Text
"hesitate, be reluctant, have loose painful bowel movements,puckery taste (of persimmons), sobriety, quietness,puckery, astringent, sullen, quiet, sober, tasteful (in dress) [**Kun**]","渋,しぶ,しぶい,しぶる","Onyomi: ジュウ = hesitate, be reluctant, have loose painful bowel movements",Guess the romaji equivalent of the Kunyomi reading,Text
"juice, sap, soup, broth, gravy, pus [**Kun**]","汁,しる","Onyomi: ジュウ = juice",Guess the romaji equivalent of the Kunyomi reading,Text
"illsmelling, suspiciouslooking,smell, odor, scent, stench, fragrance, aroma, perfume [**Kun**]","臭,くさい,におう","Onyomi: シュウ = odor, savor, fragrance",Guess the romaji equivalent of the Kunyomi reading,Text
"badlooking, ugly, unsightly, indecent, disgraceful [**Kun**]","醜,みにくい","Onyomi: シュウ = ugliness, uncleanness, shame",Guess the romaji equivalent of the Kunyomi reading,Text
"cord, strap, thong, clog cord, string [**Kun**]","緒,お","Onyomi: ショ,チョ = beginning, inception, end",Guess the romaji equivalent of the Kunyomi reading,Text
"a measuring box [**Kun**]","升,ます","Onyomi: ショウ = 1.8 liter",Guess the romaji equivalent of the Kunyomi reading,Text
"brew, cause, give rise to [**Kun**]","醸,かもす","Onyomi: ジョウ = brew, cause, give rise to",Guess the romaji equivalent of the Kunyomi reading,Text
"evening, early night hours [**Kun**]","宵,よい","Onyomi: ショウ = evening, early night hours",Guess the romaji equivalent of the Kunyomi reading,Text
"imperial edict, decree [**Kun**]","詔,みことのり","Onyomi: ショウ = imperial edict",Guess the romaji equivalent of the Kunyomi reading,Text
"make up for, recompense, redeem (one's faults), compensate for, indemnify, atone for [**Kun**]","償,つぐなう","Onyomi: ショウ = make up for, recompense, redeem (one's faults), compensate for, indemnify, atone for",Guess the romaji equivalent of the Kunyomi reading,Text
"blade, edge [**Kun**]","刃,は","Onyomi: ジン = blade, sword, cutting tool",Guess the romaji equivalent of the Kunyomi reading,Text
"very, greatly, exceedingly,extreme, excessive, intense, severe, serious [**Kun**]","甚,はなはだ,はなはだしい","Onyomi: ジン = exceedingly",Guess the romaji equivalent of the Kunyomi reading,Text
"lip [**Kun**]","唇,くちびる","Onyomi: シン = lip",Guess the romaji equivalent of the Kunyomi reading,Text
"port, harbor, ferry [**Kun**]","津,つ","Onyomi: シン = port, harbor, ferry",Guess the romaji equivalent of the Kunyomi reading,Text
"diagnose, examine [**Kun**]","診,みる","Onyomi: シン = seeing, diagnosing",Guess the romaji equivalent of the Kunyomi reading,Text
"die, pass away [**Kun**]","逝,ゆく,いく","Onyomi: セイ = die, pass away",Guess the romaji equivalent of the Kunyomi reading,Text
"swear, plegde, vow [**Kun**]","誓,ちかう","Onyomi: セイ = swear, plegde, vow",Guess the romaji equivalent of the Kunyomi reading,Text
"clumsy, bungling, unskillful [**Kun**]","拙,つたない","Onyomi: セツ = clumsy, unskillful",Guess the romaji equivalent of the Kunyomi reading,Text
"recommend, advise, encourage, offer (wine) [**Kun**]","薦,すすめる","Onyomi: セン = recommendation, advice, encouragement",Guess the romaji equivalent of the Kunyomi reading,Text
"neglect, shun, alienate,distant, estranged, disinterested, ignorant of [**Kun**]","疎,うとい,うとむ","Onyomi: ソ = rough, sparseness, estrangement",Guess the romaji equivalent of the Kunyomi reading,Text
"duckweed, seaweed [**Kun**]","藻,も","Onyomi: ソウ = duckweed, seaweed",Guess the romaji equivalent of the Kunyomi reading,Text
"frost [**Kun**]","霜,しも","Onyomi: ソウ = frost",Guess the romaji equivalent of the Kunyomi reading,Text
"insert, put in, graft (a branch), wear (a sword), carry (in the belt) [**Kun**]","挿,さす","Onyomi: ソウ = insert, put in, graft (a branch), wear (a sword), carry (in the belt)",Guess the romaji equivalent of the Kunyomi reading,Text
"mourning [**Kun**]","喪,も","Onyomi: ソウ = mourning",Guess the romaji equivalent of the Kunyomi reading,Text
"search, look for, locate, glean [**Kun**]","捜,さがす","Onyomi: ソウ = search, look for, locate, glean",Guess the romaji equivalent of the Kunyomi reading,Text
"angle, fish, catch, decoy, allure [**Kun**]","釣,つる","Onyomi: チョウ = angle, fish, catch, decoy, allure",Guess the romaji equivalent of the Kunyomi reading,Text
"challenge, contend for, make love to [**Kun**]","挑,いどむ","Onyomi: チョウ = challenge, contend for, make love to",Guess the romaji equivalent of the Kunyomi reading,Text
"chastise, punish, discipline,learn by experience, be disgusted with [**Kun**]","懲,こりる,こらす,こらしめる","Onyomi: チョウ = chastise, punish, discipline",Guess the romaji equivalent of the Kunyomi reading,Text
"mourn for, hold a memorial service for, condole [**Kun**]","弔,とむらう","Onyomi: チョウ = mourning",Guess the romaji equivalent of the Kunyomi reading,Text
"watch, look at, see, scrutinize [**Kun**]","眺,ながめる","Onyomi: チョウ = watch, look at, see, scrutinize",Guess the romaji equivalent of the Kunyomi reading,Text
"mud, mire, dirt, slush, disgrace [**Kun**]","泥,どろ","Onyomi: デイ = mud, mire",Guess the romaji equivalent of the Kunyomi reading,Text
"cave, den, excavation [**Kun**]","洞,ほら","Onyomi: ドウ = cavity",Guess the romaji equivalent of the Kunyomi reading,Text
"grieve over [**Kun**]","悼,いたむ","Onyomi: トウ = grieve over",Guess the romaji equivalent of the Kunyomi reading,Text
"pipe, tube, case, gun barrel, sleeve, well curb [**Kun**]","筒,つつ","Onyomi: トウ = pipette, tube",Guess the romaji equivalent of the Kunyomi reading,Text
"ridge, ridgepole, counter for buildings [**Kun**]","棟,むね,むな","Onyomi: トウ = ridge, ridgepole, counter for buildings",Guess the romaji equivalent of the Kunyomi reading,Text
"soft [**Kun**]","軟,やわらか,やわらかい","Onyomi: ナン = soft",Guess the romaji equivalent of the Kunyomi reading,Text
"nun [**Kun**]","尼,あま","Onyomi: ニ = nun",Guess the romaji equivalent of the Kunyomi reading,Text
"bear, endure, put up with, hide (oneself),conceal, secrete [**Kun**]","忍,しのぶ,しのばせる","Onyomi: ニン = bear, endure, put up with, hide (oneself)",Guess the romaji equivalent of the Kunyomi reading,Text
"cultivate, foster [**Kun**]","培,つちかう","Onyomi: バイ = cultivate, foster",Guess the romaji equivalent of the Kunyomi reading,Text
"become useless, get out of date, die out, be abolished, decline (in prosperity) [**Kun**]","廃,すたれる,すたる","Onyomi: ハイ = obsolescence, cessation, discarding",Guess the romaji equivalent of the Kunyomi reading,Text
"be ill, worry, be afflicted, be in pain, be troubled,trouble, keep (someone) busy, disturb, annoy [**Kun**]","煩,わずらう,わずらわす","Onyomi: ハン,ボン = worry, trouble",Guess the romaji equivalent of the Kunyomi reading,Text
"door, title page, front page [**Kun**]","扉,とびら","Onyomi: ヒ = door, title page, front page",Guess the romaji equivalent of the Kunyomi reading,Text
"cat [**Kun**]","猫,ねこ","Onyomi: ビョウ = cat",Guess the romaji equivalent of the Kunyomi reading,Text
"despise, make light of [**Kun**]","侮,あなどる","Onyomi: ブ = despise, make light of",Guess the romaji equivalent of the Kunyomi reading,Text
"boil, get hot, ferment, seethe, be in an uproar, gush out, grow, breed, be hatched,heat up (the bath), melt [**Kun**]","沸,わく,わかす","Onyomi: フツ = boil, get hot, ferment, seethe, be in an uproar, gush out, grow, breed, be hatched",Guess the romaji equivalent of the Kunyomi reading,Text
"resent, be indignant, become angry [**Kun**]","憤,いきどおる","Onyomi: フン = resent, be indignant, become angry",Guess the romaji equivalent of the Kunyomi reading,Text
"get together, unite [**Kun**]","併,あわせる","Onyomi: ヘイ = get together, unite",Guess the romaji equivalent of the Kunyomi reading,Text
"lean, incline, be biased [**Kun**]","偏,かたよる","Onyomi: ヘン = side, left radical of a character, inclining",Guess the romaji equivalent of the Kunyomi reading,Text
"bubble, foam, froth, scum, suds [**Kun**]","泡,あわ","Onyomi: ホウ = bubble, foam, froth, scum, suds",Guess the romaji equivalent of the Kunyomi reading,Text
"praise, commend [**Kun**]","褒,ほめる","Onyomi: ホウ = praise, extol",Guess the romaji equivalent of the Kunyomi reading,Text
"spin, make yarn [**Kun**]","紡,つむぐ","Onyomi: ボウ = spin, make yarn",Guess the romaji equivalent of the Kunyomi reading,Text
"flax, hemp, ramie, jute, linen [**Kun**]","麻,あさ","Onyomi: マ = flax, hemp, ramie, jute, linen",Guess the romaji equivalent of the Kunyomi reading,Text
"polish, scour, shine (shoes), brush (teeth), improve (skill), cultivate (character), train (the mind) [**Kun**]","磨,みがく","Onyomi: マ = polish, scour, shine (shoes), brush (teeth), improve (skill), cultivate (character), train (the mind)",Guess the romaji equivalent of the Kunyomi reading,Text
"admonish, charge, remonstrate with, counsel, persuade, warn, make known to [**Kun**]","諭,さとす","Onyomi: ユ = admonish, charge, remonstrate with, counsel, persuade, warn, make known to",Guess the romaji equivalent of the Kunyomi reading,Text
"heal, cure, quench (thirst), wreak (vengeance),recover, be healed [**Kun**]","癒,いえる,いやす","Onyomi: ユ = heal, cure, quench (thirst), wreak (vengeance)",Guess the romaji equivalent of the Kunyomi reading,Text
"kiln, oven, furnace, stove [**Kun**]","窯,かま","Onyomi: ヨウ = kiln, oven, furnace, stove",Guess the romaji equivalent of the Kunyomi reading,Text
"put on (the feet) [**Kun**]","履,はく","Onyomi: リ = trample on, stamp on, carry through, practice, appraise, set foot on, evade payment, step on",Guess the romaji equivalent of the Kunyomi reading,Text
"dragon [**Kun**]","竜,たつ","Onyomi: リュウ = dragon, imperial",Guess the romaji equivalent of the Kunyomi reading,Text
"willow [**Kun**]","柳,やなぎ","Onyomi: リュウ = willow",Guess the romaji equivalent of the Kunyomi reading,Text
"cool oneself, enjoy the evening air,cool, refreshing [**Kun**]","涼,すずしい,すずむ","Onyomi: リョウ = cool",Guess the romaji equivalent of the Kunyomi reading,Text
"return, turn back, revert to, resume, return to, be returned, go backward,restore, turn back (a clock), reject, vomit [**Kun**]","戻,もどす,もどる","Onyomi: レイ = return, turn back, revert to, resume, return to, be returned, go backward",Guess the romaji equivalent of the Kunyomi reading,Text
"bell [**Kun**]","鈴,すず","Onyomi: レイ,リン = bell, hand bell, buzzer",Guess the romaji equivalent of the Kunyomi reading,Text
"board, supply, finance [**Kun**]","賄,まかなう","Onyomi: ワイ = board, supply, finance",Guess the romaji equivalent of the Kunyomi reading,Text
"abundant, rich, fruitful, fertile [**On**]","裕,ユウ","",Guess the romaji equivalent of the Onyomi reading,Text
"accuse [**On**]","訟,ショウ","",Guess the romaji equivalent of the Onyomi reading,Text
"adorn (one's person) [**On**]","粧,ショウ","",Guess the romaji equivalent of the Onyomi reading,Text
"agree to, consent, comply with, undertake [**On**]","肯,コウ","",Guess the romaji equivalent of the Onyomi reading,Text
"aim (a gun) at, nominate for office, imitate, mimic, compare [**On**]","擬,ギ","",Guess the romaji equivalent of the Onyomi reading,Text
"all, illegitimate child [**On**]","庶,ショ","",Guess the romaji equivalent of the Onyomi reading,Text
"alternation [**On**]","迭,テツ","",Guess the romaji equivalent of the Onyomi reading,Text
"appear, emerge, come in sight, show up, be revealed, be discovered, be mentioned, become famous [**On**]","顕,ケン","",Guess the romaji equivalent of the Onyomi reading,Text
"article, section, goodwill, friendship, collusion [**On**]","款,カン","",Guess the romaji equivalent of the Onyomi reading,Text
"ask, demand, question, investigate, ascertain, verify [**On**]","糾,キュウ","",Guess the romaji equivalent of the Onyomi reading,Text
"audience (with a ruler) [**On**]","謁,エツ","",Guess the romaji equivalent of the Onyomi reading,Text
"beat, torture [**On**]","拷,ゴウ","",Guess the romaji equivalent of the Onyomi reading,Text
"become pregnant, be pregnant, be filled with [**On**]","妊,ニン","",Guess the romaji equivalent of the Onyomi reading,Text
"besides [**On**]","剰,ジョウ","",Guess the romaji equivalent of the Onyomi reading,Text
"blindness [**On**]","盲,モウ","",Guess the romaji equivalent of the Onyomi reading,Text
"bolt, stopper, cork, plug, ear plug, bung, faucet, peg [**On**]","栓,セン","",Guess the romaji equivalent of the Onyomi reading,Text
"bottle, vial, jar, flask [**On**]","瓶,ビン","",Guess the romaji equivalent of the Onyomi reading,Text
"bowl, rice tub, pot, crown, brainpan [**On**]","鉢,ハチ,ハツ","",Guess the romaji equivalent of the Onyomi reading,Text
"Buddhist food, room [**On**]","斎,サイ","",Guess the romaji equivalent of the Onyomi reading,Text
"bundle, bunch, sheaf, coil [**On**]","把,ハ","",Guess the romaji equivalent of the Onyomi reading,Text
"buy [**On**]","購,コウ","",Guess the romaji equivalent of the Onyomi reading,Text
"C, third [**On**]","丙,ヘイ","",Guess the romaji equivalent of the Onyomi reading,Text
"calamity, misfortune [**On**]","禍,カ","",Guess the romaji equivalent of the Onyomi reading,Text
"calm ,peace, easy, large, wide [**On**]","泰,タイ","",Guess the romaji equivalent of the Onyomi reading,Text
"can [**On**]","缶,カン","",Guess the romaji equivalent of the Onyomi reading,Text
"captive, barbarian, low epithet for the enemy [**On**]","虜,リョ","",Guess the romaji equivalent of the Onyomi reading,Text
"casket, coffin [**On**]","棺,カン","",Guess the romaji equivalent of the Onyomi reading,Text
"chastity, constancy, righteousness [**On**]","貞,テイ","",Guess the romaji equivalent of the Onyomi reading,Text
"clean, clear, pure, innocent, noble [**On**]","浄,ジョウ","",Guess the romaji equivalent of the Onyomi reading,Text
"clear [**On**]","彰,ショウ","",Guess the romaji equivalent of the Onyomi reading,Text
"clear [**On**]","徹,テツ","",Guess the romaji equivalent of the Onyomi reading,Text
"command, lead, supervise, urge [**On**]","督,トク","",Guess the romaji equivalent of the Onyomi reading,Text
"companion [**On**]","倫,リン","",Guess the romaji equivalent of the Onyomi reading,Text
"Confucianism, Confucianist, Chinese scholar [**On**]","儒,ジュ","",Guess the romaji equivalent of the Onyomi reading,Text
"congratulate [**On**]","慶,ケイ","",Guess the romaji equivalent of the Onyomi reading,Text
"copy [**On**]","謄,トウ","",Guess the romaji equivalent of the Onyomi reading,Text
"count, earl, eldest brother, uncle, chief official [**On**]","伯,ハク","",Guess the romaji equivalent of the Onyomi reading,Text
"counter for drinks [**On**]","献,ケン,コン","",Guess the romaji equivalent of the Onyomi reading,Text
"criminal investigation [**On**]","劾,ガイ","",Guess the romaji equivalent of the Onyomi reading,Text
"criminal, arrest [**On**]","囚,シュウ","",Guess the romaji equivalent of the Onyomi reading,Text
"crop tax, borrowing [**On**]","租,ソ","",Guess the romaji equivalent of the Onyomi reading,Text
"cross, ford, ferry, be imported, change hands, make one's way through life, sweep across, migrate, be provided [**On**]","渉,ショウ","",Guess the romaji equivalent of the Onyomi reading,Text
"crosspiece, cleat, frame, door bolt, shelf, jetty, suspension bridge [**On**]","桟,サン","",Guess the romaji equivalent of the Onyomi reading,Text
"decrease [**On**]","耗,モウ,コウ","",Guess the romaji equivalent of the Onyomi reading,Text
"descend to, lapse into, degenerate [**On**]","堕,ダ","",Guess the romaji equivalent of the Onyomi reading,Text
"descendants, elder brother [**On**]","昆,コン","",Guess the romaji equivalent of the Onyomi reading,Text
"diarrhea [**On**]","痢,リ","",Guess the romaji equivalent of the Onyomi reading,Text
"die a martyr, follow (someone) by committing suicide, follow in resigning [**On**]","殉,ジュン","",Guess the romaji equivalent of the Onyomi reading,Text
"dissolve, melt [**On**]","融,ユウ","",Guess the romaji equivalent of the Onyomi reading,Text
"distant, longtime, leisure [**On**]","悠,ユウ","",Guess the romaji equivalent of the Onyomi reading,Text
"divide [**On**]","剖,ボウ","",Guess the romaji equivalent of the Onyomi reading,Text
"divide, separate, share with, distinguish between [**On**]","頒,ハン","",Guess the romaji equivalent of the Onyomi reading,Text
"divide, tear, analyze [**On**]","析,セキ","",Guess the romaji equivalent of the Onyomi reading,Text
"drive away, chase, drive (cattle), follow, pursue (pleasure) [**On**]","逐,チク","",Guess the romaji equivalent of the Onyomi reading,Text
"earth, soil [**On**]","壌,ジョウ","",Guess the romaji equivalent of the Onyomi reading,Text
"emperor's seal [**On**]","璽,ジ","",Guess the romaji equivalent of the Onyomi reading,Text
"end, stop, cease, subside, calm down, pass, die out, be extinguished, leave, go off, be abandoned [**On**]","罷,ヒ","",Guess the romaji equivalent of the Onyomi reading,Text
"epidemic [**On**]","疫,エキ,ヤク","",Guess the romaji equivalent of the Onyomi reading,Text
"equal, similar [**On**]","斉,セイ","",Guess the romaji equivalent of the Onyomi reading,Text
"evil, abuse, vice, bad custom, breakage, our (humble), Shinto zigzag paper offering, tribute [**On**]","弊,ヘイ","",Guess the romaji equivalent of the Onyomi reading,Text
"excellence, genius [**On**]","俊,シュン","",Guess the romaji equivalent of the Onyomi reading,Text
"excellent [**On**]","傑,ケツ","",Guess the romaji equivalent of the Onyomi reading,Text
"falsify, kidnap [**On**]","拐,カイ","",Guess the romaji equivalent of the Onyomi reading,Text
"fast [**On**]","迅,ジン","",Guess the romaji equivalent of the Onyomi reading,Text
"fine, slender, thin kimono [**On**]","繊,セン","",Guess the romaji equivalent of the Onyomi reading,Text
"flood, vast [**On**]","洪,コウ","",Guess the romaji equivalent of the Onyomi reading,Text
"fog [**On**]","雰,フン","",Guess the romaji equivalent of the Onyomi reading,Text
"follow [**On**]","循,ジュン","",Guess the romaji equivalent of the Onyomi reading,Text
"foolish [**On**]","痴,チ","",Guess the romaji equivalent of the Onyomi reading,Text
"fort, rampart, walls, base (in baseball) [**On**]","塁,ルイ","",Guess the romaji equivalent of the Onyomi reading,Text
"friend [**On**]","曹,ソウ","",Guess the romaji equivalent of the Onyomi reading,Text
"fungus, germ, bacteria [**On**]","菌,キン","",Guess the romaji equivalent of the Onyomi reading,Text
"further, furthermore, still, still more, yet, just like [**On**]","尚,ショウ","",Guess the romaji equivalent of the Onyomi reading,Text
"further, furthermore, still, still more, yet, just like [**On**]","猶,ユウ","",Guess the romaji equivalent of the Onyomi reading,Text
"gem, jewel [**On**]","珠,シュ","",Guess the romaji equivalent of the Onyomi reading,Text
"give to, submit to, refer to, affix, attach, append [**On**]","附,フ","",Guess the romaji equivalent of the Onyomi reading,Text
"give, do (something) for [**On**]","呉,ゴ","",Guess the romaji equivalent of the Onyomi reading,Text
"go around [**On**]","旋,セン","",Guess the romaji equivalent of the Onyomi reading,Text
"gobetween [**On**]","媒,バイ","",Guess the romaji equivalent of the Onyomi reading,Text
"good belt, gentleman [**On**]","紳,シン","",Guess the romaji equivalent of the Onyomi reading,Text
"good, goodnatured, pleasing, precious, noble, lovely, beautiful, fine, lucky, efficacious, right, suitable, justifiable, appropriate, satisfactory, better, all right, unnecessary, no objection, intimate, friendly, easy, well, desirous [**On**]","宜,ギ","",Guess the romaji equivalent of the Onyomi reading,Text
"graceful, polite, gentle, pure [**On**]","淑,シュク","",Guess the romaji equivalent of the Onyomi reading,Text
"gradually advancing [**On**]","漸,ゼン","",Guess the romaji equivalent of the Onyomi reading,Text
"guest [**On**]","賓,ヒン","",Guess the romaji equivalent of the Onyomi reading,Text
"gun, arms [**On**]","銃,ジュウ","",Guess the romaji equivalent of the Onyomi reading,Text
"happiness [**On**]","祥,ショウ","",Guess the romaji equivalent of the Onyomi reading,Text
"heart, mind, inside [**On**]","衷,チュウ","",Guess the romaji equivalent of the Onyomi reading,Text
"heir [**On**]","嗣,シ","",Guess the romaji equivalent of the Onyomi reading,Text
"help, save, rescue, give relief to, spare (life), reinforce, promote, abet [**On**]","扶,フ","",Guess the romaji equivalent of the Onyomi reading,Text
"hermit, wizard [**On**]","仙,セン","",Guess the romaji equivalent of the Onyomi reading,Text
"high [**On**]","崇,スウ","",Guess the romaji equivalent of the Onyomi reading,Text
"hollow, sunken [**On**]","凹,オウ","",Guess the romaji equivalent of the Onyomi reading,Text
"horse load, pack horse, sending by horses [**On**]","駄,ダ","",Guess the romaji equivalent of the Onyomi reading,Text
"hostel, dormitory, villa, tea pavilion [**On**]","寮,リョウ","",Guess the romaji equivalent of the Onyomi reading,Text
"humble oneself, condescend, be modest [**On**]","謙,ケン","",Guess the romaji equivalent of the Onyomi reading,Text
"idleness, leisure [**On**]","逸,イツ","",Guess the romaji equivalent of the Onyomi reading,Text
"illness, condition of a patient, nature of a disease, symptoms [**On**]","症,ショウ","",Guess the romaji equivalent of the Onyomi reading,Text
"imperial court, government office [**On**]","廷,テイ","",Guess the romaji equivalent of the Onyomi reading,Text
"imperial decree [**On**]","勅,チョク","",Guess the romaji equivalent of the Onyomi reading,Text
"imperial we [**On**]","朕,チン","",Guess the romaji equivalent of the Onyomi reading,Text
"in turn, sending (parcels) in feudal times [**On**]","逓,テイ","",Guess the romaji equivalent of the Onyomi reading,Text
"indemnify [**On**]","賠,バイ","",Guess the romaji equivalent of the Onyomi reading,Text
"inscription, signature (of an artisan), precept, motto [**On**]","銘,メイ","",Guess the romaji equivalent of the Onyomi reading,Text
"involvement, trouble, tie up, pile up, continually [**On**]","累,ルイ","",Guess the romaji equivalent of the Onyomi reading,Text
"jailer, old man, rank, company officer [**On**]","尉,イ","",Guess the romaji equivalent of the Onyomi reading,Text
"Japanese checkers [**On**]","碁,ゴ","",Guess the romaji equivalent of the Onyomi reading,Text
"laziness [**On**]","惰,ダ","",Guess the romaji equivalent of the Onyomi reading,Text
"leading (troops) [**On**]","帥,スイ","",Guess the romaji equivalent of the Onyomi reading,Text
"legitimacy, legitimate child, legitimate wife, direct descent [**On**]","嫡,チャク","",Guess the romaji equivalent of the Onyomi reading,Text
"leisure [**On**]","閑,カン","",Guess the romaji equivalent of the Onyomi reading,Text
"leniency, generosity [**On**]","寛,カン","",Guess the romaji equivalent of the Onyomi reading,Text
