Question,Answer,Comment,Instruction,Render as
"串,||くし||","spit, skewer","",Guess the meaning of the Kunyomi reading,Text
"wither, droop, weaken, be paralyzed, be lame [**On**]","萎,イ","Kunyomi: なえる = wither, droop, weaken, be paralyzed, be lame",Guess the romaji equivalent of the Onyomi reading,Text
"brocade, fine dress, honors [**On**]","錦,キン","Kunyomi: にしき = brocade, fine dress, honors",Guess the romaji equivalent of the Onyomi reading,Text
"be jealous of, be envious of [**On**]","妬,ト","Kunyomi: ねたむ = be jealous of, be envious of",Guess the romaji equivalent of the Onyomi reading,Text
"aim at, sight, watch for, shadow, stalk [**On**]","狙,ソ","Kunyomi: ねらう = aim at, sight, watch for, shadow, stalk",Guess the romaji equivalent of the Onyomi reading,Text
"throat, voice [**On**]","喉,コウ","Kunyomi: のど = throat, voice",Guess the romaji equivalent of the Onyomi reading,Text
"abuse, insult, speak ill of [**On**]","罵,バ","Kunyomi: ののしる = abuse, insult, speak ill of",Guess the romaji equivalent of the Onyomi reading,Text
"spell, curse, incantation [**On**]","呪,ジュ","Kunyomi: のろう = curse",Guess the romaji equivalent of the Onyomi reading,Text
"come off, peel off, be worn off, fade, discolor [**On**]","剥,ハク","Kunyomi: はがす,はぐ,はがれる,はげる = come off, peel off, be worn off, fade, discolor, rip off, strip off, skin, flay, disrobe, deprive of",Guess the romaji equivalent of the Onyomi reading,Text
"bee, wasp, hornet [**On**]","蜂,ホウ","Kunyomi: はち = bee, wasp, hornet",Guess the romaji equivalent of the Onyomi reading,Text
"counter for medicine packages [**On**]","貼,チョウ","Kunyomi: はる = stick, paste, affix, post, paper, apply (tile, etc.)",Guess the romaji equivalent of the Onyomi reading,Text
"tumor, swelling [**On**]","腫,シュ","Kunyomi: はれる,はらす = swell, become swollen, inflame, cause to swell",Guess the romaji equivalent of the Onyomi reading,Text
"pupil of the eye [**On**]","瞳,ドウ","Kunyomi: ひとみ = pupil of the eye",Guess the romaji equivalent of the Onyomi reading,Text
"wipe, mop, swab [**On**]","拭,ショク","Kunyomi: ふく,ぬぐう = wipe, mop, swab",Guess the romaji equivalent of the Onyomi reading,Text
"close, shut, cover, block, wall up obstruct, fill, occupy [**On**]","塞,サイ,ソク","Kunyomi: ふさぐ,ふさがる = close, shut, cover, block, wall up obstruct, fill, occupy, be closed, be blocked, be obstructed, be clogged, be shut, be occupied",Guess the romaji equivalent of the Onyomi reading,Text
"wisteria [**On**]","藤,トウ","Kunyomi: ふじ = wisteria",Guess the romaji equivalent of the Onyomi reading,Text
"cover [**On**]","蓋,ガイ","Kunyomi: ふた = cover, lid, flap, hood",Guess the romaji equivalent of the Onyomi reading,Text
"foot of a mountain [**On**]","麓,ロク","Kunyomi: ふもと = foot of a mountain",Guess the romaji equivalent of the Onyomi reading,Text
"be rent, be ripped, unravel, run, begin to open, smile [**On**]","綻,タン","Kunyomi: ほころびる = be rent, be ripped, unravel, run, begin to open, smile",Guess the romaji equivalent of the Onyomi reading,Text
"thigh, crotch, yarn, strand, ply [**On**]","股,コ","Kunyomi: また = crotch, thigh, groin",Guess the romaji equivalent of the Onyomi reading,Text
"eyebrow [**On**]","眉,ビ,ミ","Kunyomi: まゆ = eyebrow",Guess the romaji equivalent of the Onyomi reading,Text
"lewdness, licentiousness [**On**]","淫,イン","Kunyomi: みだら = licentious, indecent, lewd",Guess the romaji equivalent of the Onyomi reading,Text
"coveting [**On**]","貪,ドン","Kunyomi: むさぼる = covet, indulge in",Guess the romaji equivalent of the Onyomi reading,Text
"visit a temple or shrine [**On**]","詣,ケイ","Kunyomi: もうでる = go, come, call, visit, visit a shrine",Guess the romaji equivalent of the Onyomi reading,Text
"rice cake [**On**]","餅,ヘイ","Kunyomi: もち = rice cake",Guess the romaji equivalent of the Onyomi reading,Text
"play with, trifle with [**On**]","弄,ロウ","Kunyomi: もてあそぶ = play, take pleasure in, play (on an instrument), play with, make sport of, trifle with (affections)",Guess the romaji equivalent of the Onyomi reading,Text
"get thin [**On**]","痩,ソウ","Kunyomi: やせる = get thin",Guess the romaji equivalent of the Onyomi reading,Text
"boil, get hot, ferment, seethe, be in an uproar, gush out, grow, breed, be hatched [**On**]","湧,ユウ","Kunyomi: わく = boil, get hot, ferment, seethe, be in an uproar, gush out, grow, breed, be hatched",Guess the romaji equivalent of the Onyomi reading,Text
"a little, a small quantity [**On**]","僅,キン","Kunyomi: わずか = a little, a small quantity",Guess the romaji equivalent of the Onyomi reading,Text
