Question,Answer,Comment,Instruction,Render as
"貝,||かい||","shell, shellfish","",Guess the meaning of the Kunyomi reading,Text
"center, middle, middle (course), (golden) mean, medium, mediocrity, average, second volume (of three) [**On**]","中,チュウ,ジュウ","Kunyomi: なか = inside, interior, midst, middle, mean, midway",Guess the romaji equivalent of the Onyomi reading,Text
"seven [**On**]","七,シチ","Kunyomi: なな,ななつ,なの = seven",Guess the romaji equivalent of the Onyomi reading,Text
"flower [**On**]","花,カ","Kunyomi: はな = flower, blossom, cherry blossoms, essence, spirit, pride, pearl, youth, best days, beautiful woman, flower arrangement, flowercard game",Guess the romaji equivalent of the Onyomi reading,Text
"quick, fast, speedy, brisk, prompt, early, premature [**On**]","早,ソウ,サッ","Kunyomi: はやい,はやまる,はやめる = quick, fast, speedy, brisk, prompt, early, premature,hasten, precipitate, accelerate, expedite, advance (the date),be hasty, be rash",Guess the romaji equivalent of the Onyomi reading,Text
"forest [**On**]","林,リン","Kunyomi: はやし = forest",Guess the romaji equivalent of the Onyomi reading,Text
"day, Sunday [**On**]","日,ニチ,ジツ","Kunyomi: ひ,か = sun, time, day, date",Guess the romaji equivalent of the Onyomi reading,Text
"fire, Tuesday [**On**]","火,カ","Kunyomi: ひ,ほ = fire, flame, blaze",Guess the romaji equivalent of the Onyomi reading,Text
"left, the following [**On**]","左,サ","Kunyomi: ひだり = left, the left, leftist",Guess the romaji equivalent of the Onyomi reading,Text
"man, person, people [**On**]","人,ジン,ニン","Kunyomi: ひと = man, human being, mankind, person, people, character, personality, true man, man of talent, adult, other people, messenger, visitor",Guess the romaji equivalent of the Onyomi reading,Text
"one, a [**On**]","一,イチ,イツ","Kunyomi: ひと,ひとつ = one, a unit, the same, just, once",Guess the romaji equivalent of the Onyomi reading,Text
"two, second [**On**]","二,ニ","Kunyomi: ふた,ふたつ = two",Guess the romaji equivalent of the Onyomi reading,Text
"1/100 of a hyakume, crest, figures,literary text, production, composition, sentence, style, literature, art, the pen, civil affairs, decoration, characters, elegance [**On**]","文,ブン,モン","Kunyomi: ふみ = letter, note",Guess the romaji equivalent of the Onyomi reading,Text
"town, block, street, 2.45 acres, 119 yards [**On**]","町,チョウ","Kunyomi: まち = town, quarters, street",Guess the romaji equivalent of the Onyomi reading,Text
"learning, study, science, scholarship, erudition [**On**]","学,ガク","Kunyomi: まなぶ = learn, study",Guess the romaji equivalent of the Onyomi reading,Text
"circle, yen [**On**]","円,エン","Kunyomi: まるい = round, circular, spherical",Guess the romaji equivalent of the Onyomi reading,Text
"three [**On**]","三,サン","Kunyomi: み,みつ,みっつ = three",Guess the romaji equivalent of the Onyomi reading,Text
"right, right hand [**On**]","右,ウ,ユウ","Kunyomi: みぎ = right, right hand",Guess the romaji equivalent of the Onyomi reading,Text
"water, ice water, Wednesday [**On**]","水,スイ","Kunyomi: みず = water",Guess the romaji equivalent of the Onyomi reading,Text
"ear [**On**]","耳,ジ","Kunyomi: みみ = ear, edge, border, loop, selvage, bread crusts",Guess the romaji equivalent of the Onyomi reading,Text
"hopes, chances, ideas, opinion [**On**]","見,ケン","Kunyomi: みる,みえる,みせる = see, look at, witness, observe, regard as, sightsee, look through, examine, consult (a lexicon), tell (one’s future), estimate, care for, try, test, be seen, be visible, be in sight, look like, seem, appear, come, show up, be found",Guess the romaji equivalent of the Onyomi reading,Text
"six [**On**]","六,ロク","Kunyomi: む,むつ,むっつ,むい = six",Guess the romaji equivalent of the Onyomi reading,Text
"worm, vermin, bug, insect, temper, nervousness, peevishness, bad company [**On**]","虫,チュウ","Kunyomi: むし = worm, vermin, bug, insect, temper, nervousness, peevishness, bad company",Guess the romaji equivalent of the Onyomi reading,Text
"village, hamlet [**On**]","村,ソン","Kunyomi: むら = village, hamlet",Guess the romaji equivalent of the Onyomi reading,Text
"item, division, class, order (of plants or animals) [**On**]","目,モク,ボク","Kunyomi: め,ま = eye, look, gaze, notice, attention, viewpoint, discrimination, insight, experience, treatment, care, favor, pity, texture, weave, mesh, grain, square, sight, vision, tooth (of a saw), weight, momme (0.1325 oz.), eye (of a needle)",Guess the romaji equivalent of the Onyomi reading,Text
"book, this, the same, the present, the current, main, true, real, regular, normal, counter for long things [**On**]","本,ホン","Kunyomi: もと = beginning, origin, foundation, basis, source, cause, root (of a tree), (raw) material, base, capital, principal, cost, forebears, formerly",Guess the romaji equivalent of the Onyomi reading,Text
"woods, grove [**On**]","森,シン","Kunyomi: もり = woods, grove",Guess the romaji equivalent of the Onyomi reading,Text
"eight [**On**]","八,ハチ","Kunyomi: や,やつ,やっつ,よう = eight",Guess the romaji equivalent of the Onyomi reading,Text
"rest, take a day off, be absent, retire, sleep [**On**]","休,キュウ","Kunyomi: やすむ,やすまる,やすめる = rest, take a day off, be absent, retire, sleep, rest (oneself), let idle, suspend, have (someone) rest, set at ease, give relief to, fallow (land), be rested, feel at ease, repose, be relieved",Guess the romaji equivalent of the Onyomi reading,Text
"mount, mountain [**On**]","山,サン","Kunyomi: やま = mountain, hill, height, knoll, heap, pile, crown (of a hat), seam (of an obi), speculation, adventure, climax, acme, crisis, forest, mine",Guess the romaji equivalent of the Onyomi reading,Text
"evening [**On**]","夕,セキ","Kunyomi: ゆう = evening",Guess the romaji equivalent of the Onyomi reading,Text
"four [**On**]","四,シ","Kunyomi: よ,よつ,よっつ,よん = four",Guess the romaji equivalent of the Onyomi reading,Text
