Question,Answer,Comment,Instruction,Render as
"刈,||かる||","cut, clip, shear, reap, trim, prune","",Guess the meaning of the Kunyomi reading,Text
"perspiration [**Kun**]","汗,あせ","Onyomi: カン = be sweaty",Guess the romaji equivalent of the Kunyomi reading,Text
"dry, dry up, be dry, desiccate [**Kun**]","乾,かわく,かわかす","Onyomi: カン = heaven, emperor",Guess the romaji equivalent of the Kunyomi reading,Text
"hold in the mouth, bear in mind, understand, cherish, harbor, contain, comprise, have, hold, include, embrace, be charged or loaded with, be dripping with, be full of, be suffused with, include, instruct, make one understand [**Kun**]","含,ふくむ,ふくめる","Onyomi: ガン = hold in the mouth, bear in mind, understand, cherish, harbor, contain, comprise, have, hold, include, embrace, be charged or loaded with, be dripping with, be full of, be suffused with",Guess the romaji equivalent of the Kunyomi reading,Text
"presume upon, take advantage of, coax, pamper, be indulgent, coddle, sweet, honeyed (words), lenient, halfwitted, easygoing, soft, mild, loose, trashy, sentimental [**Kun**]","甘,あまい,あまえる,あまやかす","Onyomi: カン = presume upon, take advantage of, coax",Guess the romaji equivalent of the Kunyomi reading,Text
"recommend, advise, encourage, offer (wine) [**Kun**]","勧,すすめる","Onyomi: カン = recommend, advise, encourage, offer (wine)",Guess the romaji equivalent of the Kunyomi reading,Text
"take warning from, learn a lesson from [**Kun**]","鑑,かんがみる","Onyomi: カン = take warning from, learn a lesson from",Guess the romaji equivalent of the Kunyomi reading,Text
"devil, demon, ghost, spirits of the dead, fiend, creditor, the one who is 'it' (in games) [**Kun**]","鬼,おに","Onyomi: キ = devil, demon, spirits of the dead",Guess the romaji equivalent of the Kunyomi reading,Text
"some, several, many, how many, how much [**Kun**]","幾,いく","Onyomi: キ = how many, how much, how far, how long, so much per, however(difficult)",Guess the romaji equivalent of the Kunyomi reading,Text
"play, sport, frolic, joke, flirt with [**Kun**]","戯,たわむれる","Onyomi: ギ = play, sport, frolic, joke, flirt with",Guess the romaji equivalent of the Kunyomi reading,Text
"pray, wish [**Kun**]","祈,いのる","Onyomi: キ = pray, wish",Guess the romaji equivalent of the Kunyomi reading,Text
"shine, sparkle, gleam, twinkle, brilliant, radiant, bright [**Kun**]","輝,かがやく","Onyomi: キ = shine, sparkle, gleam, twinkle, brilliant, radiant, bright",Guess the romaji equivalent of the Kunyomi reading,Text
"be pressed in, be packed, become close, be checkmated, stuff, fill, pack, plug, place closely, write closely, sit closely, shorten, curtail, checkmate, keep doing, hold (one’s breath), attend (office), be stopped up, be blocked, be full, be stuffed, be shortened, contract, be hard up, be held up, be deadlocked [**Kun**]","詰,つめる,つまる,つむ","Onyomi: キツ = be pressed in, be packed, become close, be checkmated",Guess the romaji equivalent of the Kunyomi reading,Text
"foot, leg, paw, flipper, tentacles, arms, walk, step, pace, speed, footing, draft (of a ship), foot (of a mountain), trace, deficit, shortage [**Kun**]","脚,あし","Onyomi: キャク,キャ = leg, skid, undercarriage",Guess the romaji equivalent of the Kunyomi reading,Text
"decay, rot, remain in seclusion [**Kun**]","朽,くちる","Onyomi: キュウ = decay, rot, remain in seclusion",Guess the romaji equivalent of the Kunyomi reading,Text
"exert, exercise, cause, reach, come up to, amount to, befall, happen to, extend, match, equal, and, as well as [**Kun**]","及,およぶ,および,およぼす","Onyomi: キュウ = exert, exercise, cause",Guess the romaji equivalent of the Kunyomi reading,Text
"hill, knoll, rising ground [**Kun**]","丘,おか","Onyomi: キュウ = hill, knoll, rising ground",Guess the romaji equivalent of the Kunyomi reading,Text
"honorific prefixes [**Kun**]","御,おん","Onyomi: ギョ,ゴ = imperial honorary prefix, honorific prefix",Guess the romaji equivalent of the Kunyomi reading,Text
"be surprised, be frightened, be taken aback, be appalled, be amazed, surprise, frighten, create a stir [**Kun**]","驚,おどろく,おどろかす","Onyomi: キョウ = be surprised, be frightened, be taken aback, be appalled, be amazed",Guess the romaji equivalent of the Kunyomi reading,Text
"fear, dread, be afraid, be overawed, be apprehensive, terrible, awful, fierce, tremendous, marvelous [**Kun**]","恐,おそれる,おそろしい","Onyomi: キョウ = fear, dread, be afraid, be overawed, be apprehensive",Guess the romaji equivalent of the Kunyomi reading,Text
"go insane, lose one’s head, run amuck, rave, be madly in love, go haywire, break down, be upset, warp, fluctuate, miss the mark, (winds) howl [**Kun**]","狂,くるう,くるおしい","Onyomi: キョウ = lunatic",Guess the romaji equivalent of the Kunyomi reading,Text
"narrow, contract, reduce, become narrow, contract, small (area), limited, tight [**Kun**]","狭,せまい,せばめる,せばまる","Onyomi: キョウ = narrow, contract, reduce",Guess the romaji equivalent of the Kunyomi reading,Text
"shout, exclaim, cry, yell, roar, howl, cry for, clamor for, advocate [**Kun**]","叫,さけぶ","Onyomi: キョウ = shout, exclaim, cry, yell, roar, howl, cry for, clamor for, advocate",Guess the romaji equivalent of the Kunyomi reading,Text
"sound, resound, reverberate, echo, ring, vibrate, grate on, affect, find an echo in, become known [**Kun**]","響,ひびく","Onyomi: キョウ = sound, resound, reverberate, echo, ring, vibrate, grate on, affect, find an echo in, become known",Guess the romaji equivalent of the Kunyomi reading,Text
"look up, look up to, ask for, depend on, seek, respect, revere, drink, take, statement, command, wishes (of a superior) [**Kun**]","仰,あおぐ,おおせ","Onyomi: ギョウ,コウ = look up, look up to, ask for, depend on, seek, respect, revere, drink, take",Guess the romaji equivalent of the Kunyomi reading,Text
"run, gallop, advance, drive (a car), spur on, prompt, actuate, inspire, sway, impel [**Kun**]","駆,かける,かる","Onyomi: ク = run, gallop, advance",Guess the romaji equivalent of the Kunyomi reading,Text
"dig, delve, core, excavate, sink (wells), dig up, scoop out, pick (the ear), probe [**Kun**]","掘,ほる","Onyomi: クツ = dig, delve, core, excavate, sink (wells), dig up, scoop out, pick (the ear), probe",Guess the romaji equivalent of the Kunyomi reading,Text
"incline toward, tilt, slant, slope, lurch, heel over, be disposed to, trend toward, be prone to, go down (sun), wane, sink, decline, incline, list, bend, lean, tip, concentrate on, devote to, ruin, squander, empty [**Kun**]","傾,かたむく,かたむける","Onyomi: ケイ = lean, incline, tilt, list, tip, careen, lurch",Guess the romaji equivalent of the Kunyomi reading,Text
"meet, greet, welcome, invite, engage [**Kun**]","迎,むかえる","Onyomi: ゲイ = meet, greet, welcome, invite, engage",Guess the romaji equivalent of the Kunyomi reading,Text
"succeed to, inherit, follow, patch, graft (trees), tell [**Kun**]","継,つぐ","Onyomi: ケイ = succeed to, inherit, follow, patch, graft (trees), tell",Guess the romaji equivalent of the Kunyomi reading,Text
"bless, show mercy to, render benevolence to [**Kun**]","恵,めぐむ","Onyomi: ケイ,エ = blessing, grace, favor, kindness, mercy, benevolence, charity",Guess the romaji equivalent of the Kunyomi reading,Text
"strike, hit, beat, knock, slap, punch, thrash, smite, clap (one’s hands), beat (a drum), ring (a bell), (clocks) strike, impress, touch, shoot, pound in (a nail), water, sprinkle, braid, play (checkers), till (the soil), temper (a sword), prepare (buckwheat noodles), present (a play), cast (a net), pay (earnest money) [**Kun**]","撃,うつ","Onyomi: ゲキ = attack, defeat, destroy, conquer",Guess the romaji equivalent of the Kunyomi reading,Text
"combine with, serve as both, hold an additional post, use with [**Kun**]","兼,かねる","Onyomi: ケン = and, in addition, concurrently",Guess the romaji equivalent of the Kunyomi reading,Text
"hard, solid, tough, rigid, tight, steady, firm, strict, safe, reliable, upright, chaste, constant, stiff, bookish, classical, stubborn [**Kun**]","堅,かたい","Onyomi: ケン = hard, solid, tough, rigid, tight, steady, firm, strict, safe, reliable, upright, chaste, constant, stiff, bookish, classical, stubborn",Guess the romaji equivalent of the Kunyomi reading,Text
"eaves [**Kun**]","軒,のき","Onyomi: ケン = house counter",Guess the romaji equivalent of the Kunyomi reading,Text
"send, dispatch, give, donate, bestow on, do for (someone), use, handle, manipulate, employ, need, want, spend, consume, speak (English), practice (fencing), take (one’s lunch), circulate (bad money) [**Kun**]","遣,つかう,つかわす","Onyomi: ケン = send, dispatch, give, donate, bestow on, do for (someone)",Guess the romaji equivalent of the Kunyomi reading,Text
"shoulder [**Kun**]","肩,かた","Onyomi: ケン = shoulder",Guess the romaji equivalent of the Kunyomi reading,Text
"sword [**Kun**]","剣,つるぎ","Onyomi: ケン = sword, saber, blade, bayonet, sting, clock hand",Guess the romaji equivalent of the Kunyomi reading,Text
"boast of, be proud of [**Kun**]","誇,ほこる","Onyomi: コ = boast of, be proud of",Guess the romaji equivalent of the Kunyomi reading,Text
"drum [**Kun**]","鼓,つづみ","Onyomi: コ = drum",Guess the romaji equivalent of the Kunyomi reading,Text
"mutually, reciprocally, together [**Kun**]","互,たがい","Onyomi: ゴ = mutually, reciprocally, together",Guess the romaji equivalent of the Kunyomi reading,Text
"wither, die, be dead, age, be seasoned, fog up,kill (vegetation), let dry, season (lumber) [**Kun**]","枯,かれる,からす","Onyomi: コ = wither, die, be dead, age, be seasoned, fog up",Guess the romaji equivalent of the Kunyomi reading,Text
"sit up late,get late, grow old, reach the height of the season,again, after all, more and more [**Kun**]","更,さら,ふける,ふかす","Onyomi: コウ = a watch of the night",Guess the romaji equivalent of the Kunyomi reading,Text
"attack, offensive [**Kun**]","攻,せめる","Onyomi: コウ = attack, assault",Guess the romaji equivalent of the Kunyomi reading,Text
"rough, rude, wild, harsh, violent, gruff, fierce,be ruined, become stormy, tear around, get chapped,lay waste [**Kun**]","荒,あらい,あれる,あらす","Onyomi: コウ = rough, rude, wild, harsh, violent, gruff, fierce",Guess the romaji equivalent of the Kunyomi reading,Text
"chain, irons, connection [**Kun**]","鎖,くさり","Onyomi: サ = chain, irons, connection",Guess the romaji equivalent of the Kunyomi reading,Text
"color, paint, make up [**Kun**]","彩,いろどる","Onyomi: サイ = color, paint, make up",Guess the romaji equivalent of the Kunyomi reading,Text
"ride, board, mount, get up on, spread (paints), be taken in, share in, join, be found in (a dictionary), feel like doing, be mentioned in, be in harmony with,place, put, lay, set, let (one) take part, impose on, record, mention [**Kun**]","載,のせる,のる","Onyomi: サイ = ride, board, mount, get up on, spread (paints), be taken in, share in, join, be found in (a dictionary), feel like doing, be mentioned in, be in harmony with",Guess the romaji equivalent of the Kunyomi reading,Text
"sad, pitiful, wretched [**Kun**]","惨,みじめ","Onyomi: サン,ザン = disaster, cruelty, wretchedness",Guess the romaji equivalent of the Kunyomi reading,Text
"pierce, thrust, stab, prick, bite, sting, pin down, sew, stitch, put (a runner) out, pole (a boat), stick,be stuck [**Kun**]","刺,さす,ささる","Onyomi: シ = calling card",Guess the romaji equivalent of the Kunyomi reading,Text
"fat, grease, tallow, blubber, lard, suet [**Kun**]","脂,あぶら","Onyomi: シ = fat, rouge",Guess the romaji equivalent of the Kunyomi reading,Text
"female [**Kun**]","雌,め,めす","Onyomi: シ = female",Guess the romaji equivalent of the Kunyomi reading,Text
"purple, violet, soy sauce [**Kun**]","紫,むらさき","Onyomi: シ = purple, violet",Guess the romaji equivalent of the Kunyomi reading,Text
"purport, principle, instructions, will, thinking [**Kun**]","旨,むね","Onyomi: シ = relish, show a liking for",Guess the romaji equivalent of the Kunyomi reading,Text
"visit, ask, inquire, question, hear, be told, implore (a good for an oracle) [**Kun**]","伺,うかがう","Onyomi: シ = visit, ask, inquire, question, hear, be told, implore (a good for an oracle)",Guess the romaji equivalent of the Kunyomi reading,Text
"take, hold, seize, catch, capture, fetch, receive, procure, obtain, adopt (a measure), engage (graduates), choose, order (foodstuffs), pick, pluck, make, produce, eat, set up (camp), charge, administer, transact, take (pains), make out (the meaning), remove, take off (one's hat), take out (spots), strike out (words), weed, catch (fish), deprive of, steal, capture (territory), annex, need, req","執,とる","Onyomi: シツ,シュウ = take, hold, seize, catch, capture, fetch, receive, procure, obtain, adopt (a measure), engage (graduates), choose, order (foodstuffs), pick, pluck, make, produce, eat, set up (camp), charge, administer, transact, take (pains), make out (the meaning), remove, take off (one's hat), take out (spots), strike out (words), weed, catch (fish), deprive of, steal, capture (territory), annex, need, require, reserve (rooms), subscribe to, press (a point home), take (a picture), possess",Guess the romaji equivalent of the Kunyomi reading,Text
"boil, cook, be cooked, be boiled,boil, cook [**Kun**]","煮,にる,にえる,にやす","Onyomi: シャ = boil, cook, be cooked, be boiled",Guess the romaji equivalent of the Kunyomi reading,Text
"slanting, diagonal, oblique, askew, unpleasant, disagreeable [**Kun**]","斜,ななめ","Onyomi: シャ = slanting, oblique",Guess the romaji equivalent of the Kunyomi reading,Text
"patina, antique look, elegant simplicity, trained recite's voice,lonely, lonesome, solitary, deserted, desolate [**Kun**]","寂,さび,さびしい,さびれる","Onyomi: ジャク,セキ = quietly, death of a priest",Guess the romaji equivalent of the Kunyomi reading,Text
"hunt,hunting, raiding, gathering (mushrooms), viewing (maples) [**Kun**]","狩,かる,かり","Onyomi: シュ = hunt",Guess the romaji equivalent of the Kunyomi reading,Text
"import, meaning, contents,tenor, gist, tone, touch, sentiment, charm, aspect, appearance [**Kun**]","趣,おもむき","Onyomi: シュ = proceed to, become, tend toward",Guess the romaji equivalent of the Kunyomi reading,Text
"animal, beast [**Kun**]","獣,けもの","Onyomi: ジュウ = animal, beast",Guess the romaji equivalent of the Kunyomi reading,Text
"attack, advance on, succeed to, call unexpectedly [**Kun**]","襲,おそう","Onyomi: シュウ = attack",Guess the romaji equivalent of the Kunyomi reading,Text
"boat, ship, vessel, steamer, liner, barge, shipping, tank, trough, cistern, vat [**Kun**]","舟,ふね,ふな","Onyomi: シュウ = boat",Guess the romaji equivalent of the Kunyomi reading,Text
"surpass, excel, tower above, rise to eminence [**Kun**]","秀,ひいでる","Onyomi: シュウ = excellence, beauty",Guess the romaji equivalent of the Kunyomi reading,Text
"soft, tender, plastic, limp, gentle, mellow [**Kun**]","柔,やわらか,やわらかい","Onyomi: ジュウ,ニュウ = weakness, gentleness, softness",Guess the romaji equivalent of the Kunyomi reading,Text
"go around, in connection with, concering [**Kun**]","巡,めぐる","Onyomi: ジュン = going around, circumference",Guess the romaji equivalent of the Kunyomi reading,Text
"shield, buckler, escutcheon, pretext [**Kun**]","盾,たて","Onyomi: ジュン = shield, buckler, escutcheon, pretext",Guess the romaji equivalent of the Kunyomi reading,Text
"wink, twinkle, flicker [**Kun**]","瞬,またたく","Onyomi: シュン = wink, blink",Guess the romaji equivalent of the Kunyomi reading,Text
"height, stature, length, measure [**Kun**]","丈,たけ","Onyomi: ジョウ = 10 feet, length, measure, Mr,or Mrs,(re: artists)",Guess the romaji equivalent of the Kunyomi reading,Text
"bed, sickbed, floor, alcove, padding [**Kun**]","床,とこ,ゆか","Onyomi: ショウ = bed, floor",Guess the romaji equivalent of the Kunyomi reading,Text
"call, send for, wear, put on, take (a bath), ride in, buy, eat, drink, catch (a cold) [**Kun**]","召,めす","Onyomi: ショウ = call, send for, wear, put on, take (a bath), ride in, buy, eat, drink, catch (a cold)",Guess the romaji equivalent of the Kunyomi reading,Text
"full, detailed, minute, accurate, versed in, wellinformed on [**Kun**]","詳,くわしい","Onyomi: ショウ = full, detailed, minute, accurate, versed in, wellinformed on",Guess the romaji equivalent of the Kunyomi reading,Text
"fold, fold up, furl, shut up, shut, wind up (affairs), do away with, kill, bear in mind,folding, collapsible [**Kun**]","畳,たたむ,たたみ","Onyomi: ジョウ = mat counter",Guess the romaji equivalent of the Kunyomi reading,Text
"swamp, bog, pond, lake [**Kun**]","沼,ぬま","Onyomi: ショウ = swamp, lake",Guess the romaji equivalent of the Kunyomi reading,Text
"increase, multiply, accrue, (water) rises,add to, raise, augment [**Kun**]","殖,ふえる,ふやす","Onyomi: ショク = increase",Guess the romaji equivalent of the Kunyomi reading,Text
"ornament, decorate, adorn, embellish, exhibit, be ostentatious, whitewash [**Kun**]","飾,かざる","Onyomi: ショク = ornament, decorate, adorn, embellish, exhibit, be ostentatious, whitewash",Guess the romaji equivalent of the Kunyomi reading,Text
"touch, feel, hit, strike, graze, announce, proclaim, mention, refer to, conflict with, be contrary to [**Kun**]","触,ふれる,さわる","Onyomi: ショク = touching",Guess the romaji equivalent of the Kunyomi reading,Text
"be discreet, be careful, be prudent, be cautious, restrain oneself, be moderate [**Kun**]","慎,つつしむ","Onyomi: シン = be discreet, be careful, be prudent, be cautious, restrain oneself, be moderate",Guess the romaji equivalent of the Kunyomi reading,Text
"look for, inquire for, ask (someone) a question [**Kun**]","尋,たずねる","Onyomi: ジン = fathom",Guess the romaji equivalent of the Kunyomi reading,Text
"firewood, kindling, fuel [**Kun**]","薪,たきぎ","Onyomi: シン = firewood",Guess the romaji equivalent of the Kunyomi reading,Text
"invate, raid, violate, trespass, intrude on [**Kun**]","侵,おかす","Onyomi: シン = invate, raid, violate, trespass, intrude on",Guess the romaji equivalent of the Kunyomi reading,Text
"shake, tremble, quiver, shiver, shudder, vibrate [**Kun**]","震,ふるう,ふるえる","Onyomi: シン = shake, tremble, quiver, shiver, shudder, vibrate",Guess the romaji equivalent of the Kunyomi reading,Text
"sleep, retire, be bedridden, lie down, lie idle, remain unsold,put to sleep, send to bed, lay down, let lie idle [**Kun**]","寝,ねる,ねかす","Onyomi: シン = sleeping, resting, bed",Guess the romaji equivalent of the Kunyomi reading,Text
"soak, dip, steep, immerse, moisten, wet, dunk, drench,be soaked in, be immersed in, be flooded, be submerged, be bathed in, be addicted to [**Kun**]","浸,ひたす,ひたる","Onyomi: シン = soak, dip, steep, immerse, moisten, wet, dunk, drench",Guess the romaji equivalent of the Kunyomi reading,Text
"use up, run out of, exhaust, serve, befriend, work for, endeavor, do (one's duty),become exhausted, be consumed, spend, end [**Kun**]","尽,つくす,つきる,つかす","Onyomi: ジン = use up, run out of, exhaust, serve, befriend, work for, endeavor, do (one's duty),last day of the month",Guess the romaji equivalent of the Kunyomi reading,Text
"wave, wag, swing, shake, sprinkle, brandish, jilt, reject, attach, allot,lean toward, deflect, tend, shake, swing, oscillate,wield, be invigorated, be spirited, flourish [**Kun**]","振,ふる,ふるう,ふれる","Onyomi: シン = wave, wag, swing, shake, sprinkle, brandish, jilt, reject, attach, allot",Guess the romaji equivalent of the Kunyomi reading,Text
"breathe, blow, play (a wind instrument), emit, smelt, mint, brag [**Kun**]","吹,ふく","Onyomi: スイ = breathe, blow, play (a wind instrument), emit, smelt, mint, brag",Guess the romaji equivalent of the Kunyomi reading,Text
"mark, print, impression, trace, track, trail, wake, marks, traces, evidence, scar, ruins, precedent [**Kun**]","跡,あと","Onyomi: セキ = mark, print, impression, trace, track, trail, wake, marks, traces, evidence, scar, ruins, precedent",Guess the romaji equivalent of the Kunyomi reading,Text
"folding fan [**Kun**]","扇,おうぎ","Onyomi: セン = fan",Guess the romaji equivalent of the Kunyomi reading,Text
"vivid, clear, brilliant, fresh, graceful, splendid, beautiful [**Kun**]","鮮,あざやか","Onyomi: セン = Korea",Guess the romaji equivalent of the Kunyomi reading,Text
"occupy, hold, have, get, take (a seat),divine, forecast, augur [**Kun**]","占,しめる,うらなう","Onyomi: セン = occupy, hold, have, get, take (a seat)",Guess the romaji equivalent of the Kunyomi reading,Text
"sue, complain of (pain), appeal to, have recourse to [**Kun**]","訴,うったえる","Onyomi: ソ = sue, complain of (pain), appeal to, have recourse to",Guess the romaji equivalent of the Kunyomi reading,Text
"make a noise, be boisterous, shout, clamor, raise an uproar, be excited, be agitated, bustle around, make a fuss about, make merry, go on a spree [**Kun**]","騒,さわぐ","Onyomi: ソウ = make a noise, be boisterous, shout, clamor, raise an uproar, be excited, be agitated, bustle around, make a fuss about, make merry, go on a spree",Guess the romaji equivalent of the Kunyomi reading,Text
"send, give to, award to, confer on [**Kun**]","贈,おくる","Onyomi: ゾウ,ソウ = present (something)",Guess the romaji equivalent of the Kunyomi reading,Text
"change, turn, convert, exchange, renew, substitute, replace,relieve [**Kun**]","替,かえる,かわる","Onyomi: タイ = change, turn, convert, exchange, renew, substitute, replace",Guess the romaji equivalent of the Kunyomi reading,Text
"endure, support, withstand, resist, brave, weather, be fit for, be equal to [**Kun**]","耐,たえる","Onyomi: タイ = enduring",Guess the romaji equivalent of the Kunyomi reading,Text
"swamp, marsh, dale, valley [**Kun**]","沢,さわ","Onyomi: タク = swamp, blessing",Guess the romaji equivalent of the Kunyomi reading,Text
"be muddy, be impure, be voiced, be vague,make muddy, make cloudy, quibble, prevaricate [**Kun**]","濁,にごる,にごす","Onyomi: ダク = uncleanness, wrong, muddiness, impurity, voicing marks, voiced sound, voiced consonant, unrefined sake",Guess the romaji equivalent of the Kunyomi reading,Text
"take off (clothes), undress,come off, slip off, slip down [**Kun**]","脱,ぬぐ,ぬげる","Onyomi: ダツ = removing",Guess the romaji equivalent of the Kunyomi reading,Text
"play on,spring, bound, rebound, be inspired, be spurred on, invest in, be generous (in tipping), breathe with difficulty,bullet, shot, shell [**Kun**]","弾,ひく,はずむ,たま","Onyomi: ダン = bullet",Guess the romaji equivalent of the Kunyomi reading,Text
"light, faint, pale, fleeting, a little [**Kun**]","淡,あわい","Onyomi: タン = light, faint, pale, fleeting, a little",Guess the romaji equivalent of the Kunyomi reading,Text
"end, tip, edge, border, one side, corner, beginning, scrap of cloth,side [**Kun**]","端,はし,は,はた","Onyomi: タン = origin, end, point",Guess the romaji equivalent of the Kunyomi reading,Text
"sigh, lament, moan, grieve, regret, deplore, sorrow,sad, wretched, deplorable [**Kun**]","嘆,なげく,なげかわしい","Onyomi: タン = sigh",Guess the romaji equivalent of the Kunyomi reading,Text
"be late, be delayed, be overdue, lag behind, (clocks) lose,retard, delay, defer,late, slow [**Kun**]","遅,おくれる,おくらす,おそい","Onyomi: チ = be late, be delayed, be overdue, lag behind, (clocks) lose",Guess the romaji equivalent of the Kunyomi reading,Text
"do, send, forward, incur, cause, render (assistance), exert (oneself), engage, call in (a doctor) [**Kun**]","致,いたす","Onyomi: チ = do, send, forward, incur, cause, render (assistance), exert (oneself), engage, call in (a doctor)",Guess the romaji equivalent of the Kunyomi reading,Text
"shame, dishonor, disgrace, humiliation, insult,feel ashamed,feel shy, be coy, be bashful, blush,bashful, ashamed, coy, disgraceful, shameful [**Kun**]","恥,はじる,はじ,はじらう,はずかしい","Onyomi: チ = shame, dishonor, disgrace, humiliation, insult",Guess the romaji equivalent of the Kunyomi reading,Text
"store, lay in stock, save, wear (a mustache) [**Kun**]","蓄,たくわえる","Onyomi: チク = store, hoard, savings",Guess the romaji equivalent of the Kunyomi reading,Text
"be clear, become clear, clarify,clear, settle, strain (one's ears), look grave [**Kun**]","澄,すむ,すます","Onyomi: チョウ = be clear, become clear, clarify",Guess the romaji equivalent of the Kunyomi reading,Text
"leap, spring up, hop, jerk, prance, buck, bound, spatter, splash, snap, crack, sputter, close, be over,jump, spring, bound, vault, hop [**Kun**]","跳,はねる,とぶ","Onyomi: チョウ = leap, spring up, hop, jerk, prance, buck, bound, spatter, splash, snap, crack, sputter, close, be over",Guess the romaji equivalent of the Kunyomi reading,Text
"sink, be submerged, subside, cave in, feel depressed, be overcome with,submerge, immerse [**Kun**]","沈,しずむ,しずめる","Onyomi: チン = aloes",Guess the romaji equivalent of the Kunyomi reading,Text
"new, novel, rare, strange, curious, unusual, nice (gift) [**Kun**]","珍,めずらしい","Onyomi: チン = rare, curious, strange",Guess the romaji equivalent of the Kunyomi reading,Text
"dike, bank, embankment [**Kun**]","堤,つつみ","Onyomi: テイ = dike, bank, embankment",Guess the romaji equivalent of the Kunyomi reading,Text
"drop,drip, trickle [**Kun**]","滴,しずく,したたる","Onyomi: テキ = drop",Guess the romaji equivalent of the Kunyomi reading,Text
"pick, pluck, pull out, trim, clip, nip, gather [**Kun**]","摘,つむ","Onyomi: テキ = pick, pinch, hold in the fingers, summarize",Guess the romaji equivalent of the Kunyomi reading,Text
"accompany, marry, be added to, suit, meet, satisfy, be adjusted to,add to, attach, append, accompany, garnish, imitate [**Kun**]","添,そえる,そう","Onyomi: テン = accompany, marry, be added to, suit, meet, satisfy, be adjusted to",Guess the romaji equivalent of the Kunyomi reading,Text
"mister,lord, mansion, place,Mr. [**Kun**]","殿,との,どの","Onyomi: デン,テン = hall, mansion, palace, temple, rear guard",Guess the romaji equivalent of the Kunyomi reading,Text
"become angry, be offended, become excited [**Kun**]","怒,いかる,おこる","Onyomi: ド = become angry, be offended, become excited",Guess the romaji equivalent of the Kunyomi reading,Text
"cross, ford, ferry, be imported, change hands, make one's way through life, sweep across, migrate, be provided,carry across, ferry over, bring over, hand over, deliver, deal (cards), transfer (a business), pay (wages), bridge, stretch (something) across, lay across [**Kun**]","渡,わたる,わたす","Onyomi: ト = cross, ford, ferry, be imported, change hands, make one's way through life, sweep across, migrate, be provided",Guess the romaji equivalent of the Kunyomi reading,Text
"disgorge, vomit, belch, emit, give vent to, confess, tell (lies), speak [**Kun**]","吐,はく","Onyomi: ト = disgorge, vomit, belch, emit, give vent to, confess, tell (lies), speak",Guess the romaji equivalent of the Kunyomi reading,Text
"fall, collapse, drop, break down, die, succumb to, fall senseless, be ruined, have a bad debt,bring down, throw down, blow down, fell, knock down, trip up, defeat, ruin, overthrow, kill, leave unpaid, cheat [**Kun**]","倒,たおれる,たおす","Onyomi: トウ = fall, collapse, drop, break down, die, succumb to, fall senseless, be ruined, have a bad debt",Guess the romaji equivalent of the Kunyomi reading,Text
"wage war, fight, engage in a contest, struggle against [**Kun**]","闘,たたかう","Onyomi: トウ = fighting",Guess the romaji equivalent of the Kunyomi reading,Text
"flee, run away, escape, shirk, evade, back out,let go, set free, let escape, miss (a chance),avoid [**Kun**]","逃,にげる,にがす,のがす,のがれる","Onyomi: トウ = flee, run away, escape, shirk, evade, back out",Guess the romaji equivalent of the Kunyomi reading,Text
"peach [**Kun**]","桃,もも","Onyomi: トウ = peach",Guess the romaji equivalent of the Kunyomi reading,Text
"be transparent, be seen through, be thin, leave a gap,leave a space, thin (trees), make transparent, look through [**Kun**]","透,すく,すかす,すける","Onyomi: トウ = permeate, penetrate",Guess the romaji equivalent of the Kunyomi reading,Text
"rice plant [**Kun**]","稲,いね,いな","Onyomi: トウ = rice plant",Guess the romaji equivalent of the Kunyomi reading,Text
"step on, trample on, stamp on, carry through, practice, appraise, set foot on, evade payment,stand on [**Kun**]","踏,ふむ,ふまえる","Onyomi: トウ = step on, trample on, stamp on, carry through, practice, appraise, set foot on, evade payment",Guess the romaji equivalent of the Kunyomi reading,Text
"China, Cathay, Korea, Foreign countries,Chinese, Korean, Foreign [**Kun**]","唐,から","Onyomi: トウ = Tang (dynasty), China, foreign countries,Chinese, Korean, Foreign",Guess the romaji equivalent of the Kunyomi reading,Text
"steal, rob, pilfer [**Kun**]","盗,ぬすむ","Onyomi: トウ = thief",Guess the romaji equivalent of the Kunyomi reading,Text
"thrust, pierce, spear, stab, prick, gore, lunge at, push, poke, strike (a bell), attack, strike (at the heart), brave (a storm), be pungent, strike against, (words) rush (to one's lips) [**Kun**]","突,つく","Onyomi: トツ = protruding, thrusting",Guess the romaji equivalent of the Kunyomi reading,Text
"cloud up, fog up, become dim, be blurred, be gloomy [**Kun**]","曇,くもる","Onyomi: ドン = cloud up, fog up, become dim, be blurred, be gloomy",Guess the romaji equivalent of the Kunyomi reading,Text
"dull, slow, blunt (tool), dim (light), thick (voice),become dull, weaken [**Kun**]","鈍,にぶい,にぶる","Onyomi: ドン = dullness, slowness, foolishness",Guess the romaji equivalent of the Kunyomi reading,Text
"dark, deep, saturated, strong (drink), intimate, thick [**Kun**]","濃,こい","Onyomi: ノウ = dark, thick, undiluted",Guess the romaji equivalent of the Kunyomi reading,Text
"worry, be troubled, be afflicted, be in pain,annoy, embarrass, afflict, worry, oppress, torment [**Kun**]","悩,なやむ,なやます","Onyomi: ノウ = distress, illness",Guess the romaji equivalent of the Kunyomi reading,Text
"wine glass, sake cup, chalice, cup [**Kun**]","杯,さかずき","Onyomi: ハイ = cup, glass, toast, congratulatory cup, counter for cupfuls",Guess the romaji equivalent of the Kunyomi reading,Text
